epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,6156.36,1.13833,0.75851,1.02066,0.8238,0.81882,0.85877,0.51969,1.40876,0.74991,1.16433,0.0033076,0.0033076,0.0033076
171,6192.57,1.13255,0.76442,1.02188,0.823,0.82223,0.86032,0.51993,1.40749,0.75031,1.16317,0.003268,0.003268,0.003268
172,6228.9,1.10925,0.73397,1.00934,0.82472,0.82294,0.86062,0.52033,1.40855,0.74997,1.16352,0.0032284,0.0032284,0.0032284
173,6265.21,1.11806,0.74253,1.01209,0.8274,0.82095,0.85922,0.52106,1.40949,0.75041,1.16407,0.0031888,0.0031888,0.0031888
174,6301.29,1.12935,0.75921,1.0136,0.82881,0.81917,0.85953,0.52093,1.40928,0.75007,1.16402,0.0031492,0.0031492,0.0031492
175,6337.61,1.12681,0.76286,1.01547,0.82532,0.82292,0.85995,0.52089,1.41019,0.74929,1.16427,0.0031096,0.0031096,0.0031096
176,6373.94,1.1169,0.73436,1.01287,0.82613,0.82245,0.86104,0.52149,1.40952,0.74859,1.16402,0.00307,0.00307,0.00307
177,6410.14,1.12897,0.75167,1.01925,0.82612,0.82156,0.86047,0.52162,1.40853,0.74902,1.1634,0.0030304,0.0030304,0.0030304
178,6446.43,1.12855,0.75962,1.02141,0.82452,0.82247,0.86033,0.52122,1.40867,0.74936,1.16303,0.0029908,0.0029908,0.0029908
179,6482.55,1.11273,0.73052,1.00717,0.82465,0.82345,0.86007,0.52113,1.40947,0.75001,1.16391,0.0029512,0.0029512,0.0029512
