epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
171,17730.2,0.43721,0.42487,0.0669,0.86858,0.86014,0.86586,0.38971,0.63588,0.46744,0.1055,0.001585,0.001585,0.001585
172,17831.1,0.42856,0.42406,0.06575,0.86707,0.86315,0.86845,0.39295,0.63108,0.46795,0.10496,0.0015355,0.0015355,0.0015355
173,17931.5,0.40408,0.41656,0.0613,0.87007,0.86429,0.86998,0.39552,0.62817,0.4686,0.10468,0.001486,0.001486,0.001486
174,18033.3,0.41649,0.41682,0.06255,0.86994,0.86649,0.87038,0.39734,0.62509,0.46869,0.10439,0.0014365,0.0014365,0.0014365
175,18134.7,0.41518,0.41735,0.06284,0.8734,0.86378,0.87076,0.40005,0.62217,0.46867,0.10408,0.001387,0.001387,0.001387
176,18234.9,0.42438,0.42781,0.06342,0.87221,0.86703,0.87184,0.4025,0.61935,0.46904,0.1037,0.0013375,0.0013375,0.0013375
177,18335,0.4041,0.41304,0.06206,0.87451,0.8631,0.87178,0.40314,0.61918,0.46902,0.10365,0.001288,0.001288,0.001288
178,18435.8,0.53476,0.43413,0.07508,0.87364,0.8632,0.87006,0.39923,0.62451,0.47,0.10412,0.0012385,0.0012385,0.0012385
179,18536.3,0.51097,0.42943,0.07148,0.8709,0.85562,0.86614,0.39238,0.63236,0.4718,0.10466,0.001189,0.001189,0.001189
180,18636.1,0.51599,0.43866,0.07097,0.87238,0.86166,0.86958,0.40009,0.62363,0.47053,0.10386,0.0011395,0.0011395,0.0011395
181,18735.8,0.55366,0.4417,0.07648,0.87486,0.86628,0.87311,0.40692,0.61512,0.47025,0.10308,0.00109,0.00109,0.00109
